x       psi
-5.0    0.0000
-4.9    0.0035
-4.8    0.0139
-4.7    0.0288
-4.6    0.0468
-4.5    0.0656
-4.4    0.0818
-4.3    0.0925
-4.2    0.0953
-4.1    0.0882
-4.0    0.0710
-3.9    0.0456
-3.8    0.0164
-3.7    -0.0167
-3.6    -0.0487
-3.5    -0.0754
-3.4    -0.0926
-3.3    -0.0979
-3.2    -0.0909
-3.1    -0.0735
-3.0    -0.0497
-2.9    -0.0240
-2.8    -0.0001
-2.7    0.0169
-2.6    0.0270
-2.5    0.0269
-2.4    0.0157
-2.3    -0.0005
-2.2    -0.0110
-2.1    -0.0139
-2.0    -0.0074
-1.9    0.0091
-1.8    0.0385
-1.7    0.0881
-1.6    0.1573
-1.5    0.2458
-1.4    0.3521
-1.3    0.4733
-1.2    0.6055
-1.1    0.7429
-1.0    0.8780
-0.9    1.0029
-0.8    1.1087
-0.7    1.1854
-0.6    1.2228
-0.5    1.2110
-0.4    1.1419
-0.3    1.0083
-0.2    0.8043
-0.1    0.5278
0.0     0.1801
0.1     -0.2135
0.2     -0.7159
0.3     -1.2183
0.4     -1.7207
0.5     -2.2231
0.6     -2.7255
0.7     -3.2279
0.8     -3.7303
0.9     -4.2327
1.0     -4.7351
1.1     -5.2375
1.2     -5.7399
1.3     -6.2423
1.4     -6.7447
1.5     -7.2471
1.6     -7.7495
1.7     -8.2519
1.8     -8.7543
1.9     -9.2567
2.0     -9.7591
2.1     -10.2615
2.2     -10.7639
2.3     -11.2663
2.4     -11.7687
2.5     -12.2711
2.6     -12.7735
2.7     -13.2759
2.8     -13.7783
2.9     -14.2807
3.0     -14.7831
